1000,1000,0,0,3,0,0,3,10,1000,10,1000,40,,,,
1000,1000,100,0,3,0,0,3,10,1000,10,1000,40,,,,
1000,1000,100,200,3,0,0,3,10,1000,10,1000,40,,,,
1000,1000,100,200,6,0,0,3,10,1000,10,1000,40,,,,
1000,1000,100,200,1,0,0,3,10,1000,10,1000,40,,,,
1000,1000,0,0,3,0,0,3,100,2000,100,2000,40,,,,
1000,1000,100,0,3,0,0,3,100,2000,100,2000,40,,,,
1000,1000,100,200,3,0,0,3,100,2000,100,2000,40,,,,
1000,1000,100,200,6,0,0,3,100,2000,100,2000,40,,,,
1000,1000,100,200,1,0,0,3,100,2000,100,2000,40,,,,
2000,2000,0,0,3,0,0,3,100,2000,100,2000,40,,,,
2000,2000,200,0,3,0,0,3,100,2000,100,2000,40,,,,
2000,2000,200,400,3,0,0,3,100,2000,100,2000,40,,,,
2000,2000,200,400,6,0,0,3,100,2000,100,2000,40,,,,
2000,2000,200,400,1,0,0,3,100,2000,100,2000,40,,,,
2000,2000,0,0,3,0,0,3,100,4000,100,4000,40,,,,
2000,2000,200,0,3,0,0,3,100,4000,100,4000,40,,,,
2000,2000,200,400,3,0,0,3,100,4000,100,4000,40,,,,
2000,2000,200,400,6,0,0,3,100,4000,100,4000,40,,,,
2000,2000,200,400,1,0,0,3,100,4000,100,4000,40,,,,
4000,4000,0,0,3,0,0,3,100,4000,100,4000,40,,,,
4000,4000,400,0,3,0,0,3,100,4000,100,4000,40,,,,
4000,4000,400,800,3,0,0,3,100,4000,100,4000,40,,,,
4000,4000,400,800,6,0,0,3,100,4000,100,4000,40,,,,
4000,4000,400,800,1,0,0,3,100,4000,100,4000,40,,,,
4000,4000,0,0,3,0,0,3,100,8000,100,8000,40,,,,
4000,4000,400,0,3,0,0,3,100,8000,100,8000,40,,,,
4000,4000,400,800,3,0,0,3,100,8000,100,8000,40,,,,
4000,4000,400,800,6,0,0,3,100,8000,100,8000,40,,,,
4000,4000,400,800,1,0,0,3,100,8000,100,8000,40,,,,
10000,10000,0,0,3,0,0,3,100,10000,100,10000,40,,,,
10000,10000,1000,0,3,0,0,3,100,10000,100,10000,40,,,,
10000,10000,1000,2000,3,0,0,3,100,10000,100,10000,40,,,,
10000,10000,1000,2000,6,0,0,3,100,10000,100,10000,40,,,,
10000,10000,1000,2000,1,0,0,3,100,10000,100,10000,40,,,,
10000,10000,0,0,3,0,0,3,100,20000,100,20000,40,,,,
10000,10000,1000,0,3,0,0,3,100,20000,100,20000,40,,,,
10000,10000,1000,2000,3,0,0,3,100,20000,100,20000,40,,,,
10000,10000,1000,2000,6,0,0,3,100,20000,100,20000,40,,,,
10000,10000,1000,2000,1,0,0,3,100,20000,100,20000,40,,,,
45000,45000,0,0,3,0,0,3,100,45000,100,45000,40,,,,
45000,45000,4500,0,3,0,0,3,100,45000,100,45000,40,,,,
45000,45000,4500,9000,3,0,0,3,100,45000,100,45000,40,,,,
45000,45000,4500,9000,6,0,0,3,100,45000,100,45000,40,,,,
45000,45000,4500,9000,1,0,0,3,100,45000,100,45000,40,,,,
45000,45000,0,0,3,0,0,3,100,90000,100,90000,40,,,,
45000,45000,4500,0,3,0,0,3,100,90000,100,90000,40,,,,
45000,45000,4500,9000,3,0,0,3,100,90000,100,90000,40,,,,
45000,45000,4500,9000,6,0,0,3,100,90000,100,90000,40,,,,
45000,45000,4500,9000,1,0,0,3,100,90000,100,90000,40,,,,
